"ID","NAME","MOBILE_NO","EMAIL","ADDRESS1","BIRTH_DT","GU","AGE_RANGE"
"00000572","방훈애","01075997343","aswfto@dreamwiz.com","서울 구로구 구로3동",62/07/29,"구로구","50대"
"00001317","김고화","01089183163","whenyxhc@cau.ac.kr","서울 구로구 구로5동",67/07/28,"구로구","50대"
"00002037","제영진","01053931908","inmonz@hotmail.com","서울 구로구 고척2동",63/07/29,"구로구","50대"
"00001731","류명지","01678036081","beefah@naver.com","서울 구로구 고척1동",67/07/28,"구로구","50대"
"00003385","옥건운","01193235322","saidkvuu@lg.com","서울 구로구 구로3동",69/07/27,"구로구","50대"
"00003914","이준준","01656001890","abuuu@cau.ac.kr","서울 구로구 신도림동",61/07/29,"구로구","50대"
"00004119","최리해","01955085830","weakft@gmail.com","서울 구로구 구로4동",68/07/27,"구로구","50대"
"00004257","박서상","01043839149","anddhyv@lg.com","서울 구로구 구로3동",67/07/28,"구로구","50대"
"00005089","김상준","01948524120","whatywpw@gmail.com","서울 구로구 구로1동",66/07/28,"구로구","50대"
"00004822","양청철","01068313922","eachlinh@aol.com","서울 구로구 구로2동",63/07/29,"구로구","50대"
"00005649","위형석","01083946668","webiaa@kopo.ac.kr","서울 구로구 구로5동",69/07/27,"구로구","50대"
"00011563","전문백","01922014487","whatdwhg@samsung.com","서울 구로구 천왕동",68/07/27,"구로구","50대"
"00010084","명청애","01079665424","saidupxx@naver.com","서울 구로구 구로2동",67/07/28,"구로구","50대"
"00009077","백민빈","01075771795","allkfyn@samsung.com","서울 구로구 궁동",64/07/28,"구로구","50대"
"00007025","차도은","01051360577","thisrlhn@hotmail.com","서울 구로구 고척1동",62/07/29,"구로구","50대"
"00008744","김혜종","01128718653","inmgq@gmail.com","서울 구로구 구로2동",70/07/27,"구로구","50대"
"00016331","김초서","01140797047","waspijs@kopo.ac.kr","서울 구로구 개봉3동",62/07/29,"구로구","50대"
"00016488","남일상","01039186770","onspmr@yahoo.com","서울 구로구 고척1동",68/07/27,"구로구","50대"
"00015777","명오열","01951061068","hisgxgq@sk.com","서울 구로구 구로3동",67/07/28,"구로구","50대"
"00013982","제재성","01086091637","hadusir@gmail.com","서울 구로구 고척2동",62/07/29,"구로구","50대"
"00014975","윤태세","01044244642","sheiazz@dreamwiz.com","서울 구로구 구로4동",67/07/28,"구로구","50대"
"00013419","육동형","01195831454","whencawx@korea.com","서울 구로구 고척1동",62/07/29,"구로구","50대"
"00014304","탁충균","01051729525","incgzz@dreamwiz.com","서울 구로구 구로2동",62/07/29,"구로구","50대"
"00021712","이연아","01031842851","thisdxdn@naver.com","서울 구로구 고척1동",69/07/27,"구로구","50대"
"00023337","권현자","01183296379","arerrts@cau.ac.kr","서울 구로구 고척1동",66/07/28,"구로구","50대"
"00022647","함관한","01083214306","itpmcj@kopo.ac.kr","서울 구로구 개봉1동",63/07/29,"구로구","50대"
"00023640","함철민","01194838399","whichjxyu@korea.com","서울 구로구 구로2동",64/07/28,"구로구","50대"
"00023688","육노익","01091542131","hislzjd@naver.com","서울 구로구 온수동",64/07/28,"구로구","50대"
"00022292","김찬미","01093616629","shehcsh@sk.com","서울 구로구 개봉2동",64/07/28,"구로구","50대"
"00018480","김설화","01052837629","canjlvi@gmail.com","서울 구로구 개봉1동",68/07/27,"구로구","50대"
"00020939","현유열","01093077969","becvif@kopo.ac.kr","서울 구로구 구로2동",64/07/28,"구로구","50대"
"00019390","설승숙","01031253083","thedrhr@daum.net","서울 구로구 구로3동",62/07/29,"구로구","50대"
"00019807","최상권","01079820768","thatzkht@sk.com","서울 구로구 구로2동",61/07/29,"구로구","50대"
"00030216","이도연","01120425984","heebrh@cau.ac.kr","서울 구로구 구로2동",67/07/28,"구로구","50대"
"00029732","장춘영","01092846021","offkbg@cau.ac.kr","서울 구로구 구로3동",68/07/27,"구로구","50대"
"00027741","김동호","01960908702","wordjvbz@gmail.com","서울 구로구 개봉동",66/07/28,"구로구","50대"
